Revenue Codes 2025,Revenue Code Description,Type Of Care
829,Hemodialysis,Hemodialysis
831,"Peritoneal dialysis, outpatient or home composite or rate",Peritoneal Dialysis
851,"Continuous cycling peritoneal dialysis, outpatient or home composite or rate",Continuous Cycling Peritoneal Dialysis
880,"Dialysis, miscellaneous",Dialysis Miscellaneous
900,"Behavioral health treatment services, general",Behavioral Health Treatment
901,"Behavioral health treatment services, electroshock",Behavioral Health Treatment
902,"Behavioral health treatment services, milieu therapy",Behavioral Health Treatment
903,"Behavioral health treatment services, play therapy",Behavioral Health Treatment
904,"Behavioral health treatment services, activity Therapy",Behavioral Health Treatment
905,"Behavioral health treatment services, intensive outpatient psychiatric",Behavioral Health Treatment
906,"Behavioral health treatment services, intensive outpatient chemical dependency",Behavioral Health Treatment
907,"Behavioral health treatment services, community behavioral health program",Behavioral Health Treatment
908,Reserved behavioral health treatment services,Behavioral Health Treatment
909,Reserved behavioral health treatment services,Behavioral Health Treatment
910,"Reserved behavioral health treatment services, 090X extension",Behavioral Health Treatment
911,"Behavioral health treatment services, 090X extension: rehabilitation",Behavioral Health Treatment
912,"Behavioral health treatment services, 090X extension: partial hospitalization, less intensive",Behavioral Health Treatment
913,"Behavioral health treatment services, 090X extension: partial hospitalization, intensive",Behavioral Health Treatment
914,"Behavioral health treatment services, 090X extension: individual therapy",Behavioral Health Treatment
915,"Behavioral health treatment, services 090X extension: group therapy",Behavioral Health Treatment
916,"Behavioral health treatment, services 090X extension: family therapy",Behavioral Health Treatment
917,"Behavioral health treatment, services 090X extension: bio feedback",Behavioral Health Treatment
918,"Behavioral health treatment, services 090X extension: testing",Behavioral Health Treatment
919,"Behavioral health treatment, services 090X extension:",Behavioral Health Treatment
920,"diagnostic services, general",Diagnostic Services
921,"diagnostic services, peripheral vascular laboratory",Diagnostic Services
922,"diagnostic services, electromyelgram",Diagnostic Services
923,"diagnostic services, pap smear",Diagnostic Services
924,"diagnostic services, allergy test",Diagnostic Services
925,"diagnostic services, pregnancy test",Diagnostic Services
926,"Reserved , diagnostic services",Diagnostic Services
927,"Reserved , diagnostic services",Diagnostic Services
928,"Reserved , diagnostic services",Diagnostic Services
929,"diagnostic services,",Diagnostic Services
940,"therapeutic services, general",Therapeutic Services
941,"therapeutic services, recreational therapy",Therapeutic Services
942,"Education, training",Therapeutic Services
943,Cardiac rehabilitation,Therapeutic Services
944,"therapeutic services, drug rehabilitation",Therapeutic Services
945,"therapeutic services, alcohol rehabilitation",Therapeutic Services
946,"therapeutic services, complex medical equipment – routine",Therapeutic Services
947,"therapeutic services, complex medical equipment, ancillary",Therapeutic Services
948,Pulmonary rehabilitation,Therapeutic Services
949,"therapeutic services,",Therapeutic Services
950,"Reserved therapeutic services, 094X extension:",Therapeutic Services
951,"therapeutic services, 094X extension: athletic training",Therapeutic Services
952,"therapeutic services, 094X extension: kinesiapy",Therapeutic Services
953,"Reserved therapeutic services, extension of 094X",Therapeutic Services
954,"Reserved therapeutic services, extension of 094X",Therapeutic Services
955,"Reserved therapeutic services, extension of 094X",Therapeutic Services
956,"Reserved therapeutic services, extension of 094X",Therapeutic Services
957,"Reserved , therapeutic services, extension of 094X",Therapeutic Services
958,"Reserved , therapeutic services, extension of 094X",Therapeutic Services
959,"Reserved , therapeutic services, extension of 094X",Therapeutic Services
960,Professional fee,Professional Fees
961,"Professional fee, psychology",Professional Fees
962,"Professional fee, eye",Professional Fees
963,"Professional fee, anesthesiologist Medical Doctor",Professional Fees
964,"Professional fee, anesthesiologist, certified registered nurse anesthetist (CRNA)",Professional Fees
969,Professional fee,Professional Fees
971,"Professional fee, laboratory",Professional Fees
972,"Professional fee, radiology, diagnostic",Professional Fees
975,"Professional fee, operating room",Professional Fees
981,"Professional fee, emergency room",Professional Fees
982,"Professional fee, outpatient",Professional Fees
983,"Professional fee, clinic",Professional Fees
984,"Professional fee, social services",Professional Fees
985,"Professional fee, electrocardiogram (EKG)",Professional Fees
986,"Professional fee, electroencephalography (EEG)",Professional Fees
987,"Professional fee, house visit",Professional Fees
988,"Professional fee, consultation",Professional Fees
989,Professional Fees – Private Duty Nurse,Professional Fees
990,Patient Convenience Items – General Classification,Patient Convenience Items
991,Patient Convenience Items – Cafeteria/Guest Tray,Patient Convenience Items
992,Patient Convenience Items – Private Linen Service,Patient Convenience Items
993,Patient Convenience Items – Telephone/Telecom,Patient Convenience Items
994,Patient Convenience Items – TV/Radio,Patient Convenience Items
995,Patient Convenience Items – Non-patient Room Rentals,Patient Convenience Items
996,Patient Convenience Items – Late Discharge,Patient Convenience Items
997,Patient Convenience Items – Admission Kits,Patient Convenience Items
998,Patient Convenience Items – Beauty Shop/Barber,Patient Convenience Items
999,Patient Convenience Items – Other,Patient Convenience Items
